NR. CRT.,VIN,DATA INTRARE VO,TIP AUTOVEHICUL,MARCA,MODEL,VERSIUNE,CULOARE,AN FABRICATIE,KM,CAPACITATE CILINDRICA,PUTERE,DATA PRIMEI INMATRICULARI,FURNIZOR,PROVENIENTA,Tip,LOCATIA,PRET CUMPARARE HT LEI,PRET EVALUARE TTC EURO,Data validare pret evaluare,REZERVARI,NR NIR,OBSERVATII,Serie caroserie,Nr inmatriculare vehicul,Discount,VANZARE,Curs ? Dacia,Pret vanzare lei TTC,Pret vanzare lei HT,tva,Data aviz plata,Nr factura,Data factura,Nume cumparator,Conditie interioara,Conditie exterioara,Pret evaluare DVS (TVA inclus),Pret evaluare Retail (TVA inclus),Pret Trade-in (TVA inclus),Stare,Data evaluare,FREVO,Data final garantie,Data actuala,Zile ramase garantie,Rate facturate,Perioada contract,CIV,IESIRE ROL,LIVRATE LA CLIENT,DATA OFERTA ANGAJATI,Data evaluare,Zile stoc / data evaluare,Zile stoc / data intrare,Viteza rotatie
29,VF1RFB00369403233,12/03/2025,AUTOTURISM,RENAULT,MEGANE SEDAN,TECHNO,GRIS HIGHLAND,2022,57044,1461,115,2/22/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"15,574.55 ?","18,000.00 ?",26.05.2025,AMAT SELECTION SRL,,"EDC, TAPITERIE PIELE NEAGRA, TRAPA, VOLAN PIELE, ROATA REZERVA DIMENSIUNI REDUSE, PACHET CONFORT, AVERTIZARE PARASIRE BANDA, LUMINI ADAPTIVE, VOLAN INCALZIT, SISTEM AVERTIZARE DIST, FRANARE ACTIVA URGENTA, EASY LINK 9.3",9403233,B116UXO,2.78%,"17,500.00 ?",5.0705 lei,"88,733.75 lei","74,566.18 lei","14,167.57 lei",7/23/2025,30458911,7/25/2025,AMAT SELECTION SRL,BUNA,"REVOPSIT AMBELE BARE+HAION+ARIPA SPATE DR+USA SPATE DR+ARIPA FATA DR, MICI CIUPITURI PARBRIZ, PLAFON PLASTIC CRAPAT, ZGARIAT BARA FATA+OCHELAR PROIECTOR DR+JANTA FATA ST, ANVELOPE DR CU MULTIPLE CRAPATURI, ZGARIAT 2CM BARA SPATE, CARTE SERVICE 48057KM (09.2024)",18000,20493,18595,BUNA,13.05.2025/RS,700,1/30/2026,10/22/2025,100,23,36,CIV,,,-,13.05.2025,#VALUE!,224,
30,VF1HJD40870889673,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY+,LICHEN KAKI,2023,36822,1332,150,5/29/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"14,881.07 ?","19,500.00 ?",25.04.2025,AMAT SELECTION SRL,,4WD,0889673,B117TDP,6.41%,"18,250.00 ?",5.0705 lei,"92,536.63 lei","77,761.87 lei","14,774.76 lei",7/23/2025,30458912,7/25/2025,AMAT SELECTION SRL,INTERIOR MURDAR-NECESAR IGIENIZARE,"MICI CIUPITURI PARBRIZ, CARTE SERVICE 22500KM (05.2024)",19500,19352,17256,F BUNA,14.04.2025/RS,100,5/24/2026,10/22/2025,214,19,36,CIV,,,4/28/2025,14.04.2025,#VALUE!,224,
31,UU1DBG001LU002775,18/03/2025,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,LIGHTNING SILVER,2020,27783,ELECTRIC,45,6/29/2021,RCI FINANTARE ROMANIA,RCI,LO,PARC AMAT ,"6,649.56 ?","8,300.00 ?",25.04.2025,AMAT SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002775,B110XRD,4.58%,"7,920.00 ?",5.0705 lei,"40,158.36 lei","33,746.52 lei","6,411.84 lei",7/23/2025,30458914,7/25/2025,AMAT SELECTION SRL,POLITA PORTBAGAJ RUPTA,"REVOPSIT AMBELE BARE+LATERALA ST, CONDENS IN FAR DR, CARTE SERVICE 21118KM (06.2024)",8300,8337,7681,BUNA,14.04.2025/RS,,-,10/22/2025, - ,36,36,CIV,,,-,14.04.2025,#VALUE!,218,
32,UU1DJF00770599974,22/04/2025,AUTOTURISM,DACIA,SANDERO III,STEPWAY EXPRESSION ECO-G,PEARL BLACK,2023,23658,999,90,1/22/2024,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"10,679.56 ?","13,000.00 ?",26.05.2025,AMAT SELECTION SRL,,"GPL, AER CONDITIONAT AUTOMAT",0599974,B119TBH,#DIV/0!,"12,710.00 ?",5.0705 lei,"64,446.06 lei","54,156.35 lei","10,289.71 lei",7/23/2025,30458915,7/25/2025,AMAT SELECTION SRL,BUNA,"REVOPSIT BARA SPATE+HAION, MICI CIUPITURI PARBRIZ, MICI PUNCTE VOPSEA SARITA CAPOTA, CARTE SERVICE 22563KM (02.2025)",13000,14073,12489,BUNA,15.05.2025/RS,,12/20/2026,10/22/2025,424,14,36,CIV,,,5/27/2025,15.05.2025,#VALUE!,183,
33,UU1DJF00070062900,04/04/2024,AUTOTURISM,DACIA,SANDERO III ,STEPWAY COMFORT,ATACAMA ORANGE,2022,8883,999,90,6/6/2023,RCI FINANTARE ROMANIA,RCI,VOC,PARC MAVEXIM GAESTI,"10,708.02 ?",,7/31/2024,DAW AUTO ES SRL,-,"JANTE ALUMINIU 16', AER CONDITIONAT AUTOMAT, PACHET CONFORT 1, PACK, DESIGN MAHALIA, AFISAJ TFT 4,2'",0062900,B117UFM,#DIV/0!,"10,200.00 ?",5.0736 lei,"51,750.72 lei","43,488.00 lei","8,262.72 lei",7/21/2025,30458916,7/27/2025,DAW AUTO ES SRL,km introdusi gresit in icm,"Marcat cu autocolant Usa Fata stƒnga (Eliminare autocolante) , Marcat cu autocolant Usa Fata dreapta (Eliminare autocolante) , Cu zgƒrieturi Usa Fata dreapta (Repara?ie) , Cu adƒncituri Cadru superior usa Stƒnga (Informativ) , Cu adƒncituri Plafon Centrala (Informativ) , Neconform Cheie Interior (?nlocuire), Necesar revizie 1an",,9198,N/A,BUNA,24.07.2024/DK,441,21/05/2026,10/22/2025,211,8,18,CIV,,,6/12/2024,24.07.2024,#VALUE!,566,
34,VF1HJD20767536964,04/02/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE ECO-G,BLANC GLACIER,2021,117835,999,90,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"6,653.00 ?","9,500.00 ?",25.04.2025,DAW AUTO ES SRL,,GPL 2WD,7536964,B110KWE,15.79%,"8,000.00 ?",5.0736 lei,"40,588.80 lei","34,108.24 lei","6,480.56 lei",7/21/2025,30458918,7/25/2025,DAW AUTO ES SRL,BUNA,"A FOST LOVITA IN FATA, TRAVERSA INLOCUITA, REVOPSIT BARA FATA+CAPOTA+ARIPA FATA DR, MICI CIUPITURI PARBRIZ, ZGARIAT USOR JANTE, CARTE SERVICE 117719KM (01.2025)",9500,12504,10910,MEDIE,20.03.2025/RS,, - ,10/22/2025, - ,43,47,CIV,,,-,20.03.2025,#VALUE!,260,
35,VF1HJD20968800096,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,EXTREME ,URBAN GREY,2022,54777,1332,150,3/29/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"10,310.66 ?","18,000.00 ?",26.05.2025,MIDA AUTO SELECTION SRL,,"EDC 2WD, ROATA REZERVA NORMALA",8800096,B113UUZ,6.94%,"16,750.00 ?",5.0724 lei,"84,962.70 lei","71,397.23 lei","13,565.47 lei",7/18/2025,30458919,7/25/2025,MIDA AUTO SELECTION SRL,BUNA,"REVOPSIT BARA FATA, INFUNDATURI USOARE USA FATA ST+ARIPA SPATE ST, ZGARIAT USOR JANTE, CARTE SERVICE 54772KM (02.2025)",18000,15959,14206,BUNA,05.05.2025/RS,,3/17/2025,10/22/2025,-219,33,36,CIV,,,-,05.05.2025,#VALUE!,224,
36,VF1RJL009UC303044,12/03/2025,AUTOTURISM,RENAULT,ARKANA,RS LINE ,ORANGE ARIZONA,2021,29101,1332,160,4/14/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"13,187.27 ?","22,500.00 ?",27.03.2025,MIDA AUTO SELECTION SRL,,"EDC, AROUND VIEW CAMERA, AFISAJ BORD TFT 10, PLAFON CULOARE NEAGRA, PACHET EXTERIOR RS LINE, ROATA REZERVA TEMPORARA, TRAPA",C303044,B585ARK,8.89%,"20,500.00 ?",5.0724 lei,"103,984.20 lei","87,381.68 lei","16,602.52 lei",7/18/2025,30458920,7/25/2025,MIDA AUTO SELECTION SRL,BUNA,"MICI PUNCTE VOPSEA SARITA CAPOTA, MICI CIUPITURI PARBRIZ, CARTE SERVICE 28571KM (05.2024)",22500,18010,16610,F BUNA,13.03.2025/RS,,3/30/2025,10/22/2025,-206,33,36,CIV,,,-,13.03.2025,#VALUE!,224,
37,VF1HJD20070494857,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY,PEARL BLACK,2022,22276,1332,150,1/25/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"13,208.15 ?","18,500.00 ?",25.04.2025,MIDA AUTO SELECTION SRL,,"EDC 2WD, SCAUNE INCALZITE, CAMERA MULTIVIEW, ROATA REZERVA NORMALA, PACHET CONFORT 2",0494857,B116LRP,7.00%,"17,205.00 ?",5.0724 lei,"87,270.64 lei","73,336.67 lei","13,933.97 lei",7/18/2025,30458921,7/25/2025,MIDA AUTO SELECTION SRL,BUNA,"ZGARIETURI FINE LATERALA ST+JANTE, CARTE SERVICE 22255KM (02.2025)",18500,18297,16299,F BUNA,14.04.2025/RS,,12/12/2025,10/22/2025,51,24,36,CIV,,,-,14.04.2025,#VALUE!,224,
38,VF1HJD40869663143,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,PRESTIGE PLUS ,IRON BLUE,2022,60588,1332,150,12/30/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"13,056.40 ?","17,500.00 ?",25.04.2025,MIDA AUTO SELECTION SRL,,4WD,9663143,B116GBE,5.00%,"16,625.00 ?",5.0724 lei,"84,328.65 lei","70,864.41 lei","13,464.24 lei",7/18/2025,30458922,7/25/2025,MIDA AUTO SELECTION SRL,BUNA,"INFUNDATURI USOARE GRINDINA CAPOTA+MONTANTI, REVOPSIT BARA FATA+PLAFON, LIPSA REVIZII IN MANUAL, REVIZIE 51220KM (10.2024)-CONFORM ICM",17500,17036,15229,BUNA,14.04.2025/RS,300,12/12/2025,10/22/2025,51,24,36,CIV,,,-,14.04.2025,#VALUE!,224,
39,VF1HJD40469779102,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,PRESTIGE PLUS,ARIZONA ORANGE,2022,51581,1332,150,6/19/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"14,370.67 ?","17,500.00 ?",27.03.2025,MIDA AUTO SELECTION SRL,,4WD,9779102,B117XHU,5.00%,"16,625.00 ?",5.0724 lei,"84,328.65 lei","70,864.41 lei","13,464.24 lei",7/18/2025,30458923,7/25/2025,MIDA AUTO SELECTION SRL,SCAUN SOFER MURDAR,"PARBRIZ CIOBIT 2X2CM, BLOC COMENZI CLIMA DESPRINS, ZGARIETURI FINE LATERALA DR+HAION, CONDENS IN LAMPA MARSARIER, MICI PUNCTE VOPSEA SARITA CAPOTA, CARTE SERVICE 26878KM (07.2024)",17500,17281,15484,BUNA,13.03.2025/RS,,5/25/2026,10/22/2025,215,20,36,CIV,,,3/31/2025,13.03.2025,#VALUE!,224,
40,VF1RHN00972049207,04/04/2025,AUTOTURISM,RENAULT,AUSTRAL,ICONIC EA E-TECH,GRIS SCHISTE SATINE,2023,7979,1199,200,3/6/2024,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"31,731.67 ?","33,500.00 ?",26.05.2025,MIDA AUTO SELECTION SRL,,"E-TECH, BI-TON, LED MATRIX VISION, HEAD-UP DISPLAY 9.3, OPEN-R LINK 12, HARMAN KARDON PREMIUM SOUND, PLAFON PANORAMIC VITRAT, 4CONTROL",2049207,B120DLA,#DIV/0!,"31,490.00 ?",5.0724 lei,"159,729.88 lei","134,226.79 lei","25,503.09 lei",7/18/2025,30458924,7/25/2025,MIDA AUTO SELECTION SRL,LIPSA POLITA PORTBAGAJ,CARTE SERVICE 7974KM (03.2025),33000,34224,31590,F BUNA,13.05.2025/RS,,2/26/2027,10/22/2025,492,7,36,CIV,,,5/27/2025,13.05.2025,#VALUE!,201,
41,UU1DJF00370063023,04/04/2024,AUTOTURISM,DACIA,SANDERO III ,STEPWAY COMFORT,ATACAMA ORANGE,2022,2284,999,90,6/7/2023,RCI FINANTARE ROMANIA,RCI,VOC,PARC MAVEXIM GAESTI,"10,541.34 ?",,7/31/2024,POLISERV SELECTION SRL,-,"AER CONDITIONAT AUTOMAT, PACHET CONFORT 1, PACK",0063023,B117UTM,#DIV/0!,"10,100.00 ?",5.0810 lei,"51,318.10 lei","43,124.45 lei","8,193.65 lei",7/14/2025,30458925,7/25/2025,POLISERV SELECTION SRL,km introdusi gresit in icm,"Marcat cu autocolant Usa Fata stƒnga (Eliminare autocolante) , Marcat cu autocolant Usa Fata stƒnga (Eliminare autocolante) , Cu zgƒrieturi Aripa Fata dreapta (Repara?ie) , Marcat cu autocolant Usa Fata dreapta (Eliminare autocolante) , Cu zgƒrieturi Bara de protectie Spate (Informativ), Necesar revizie 1an",,12982,N/A,BUNA,24.07.2024/DK,275,21/05/2026,10/22/2025,211,8,18,CIV,,,-,24.07.2024,#VALUE!,566,
42,VF1HJD20770199450,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY ,ORANGE ARIZONA,2022,30376,1332,150,1/13/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"13,208.15 ?","18,500.00 ?",25.04.2025,AMAT SELECTION SRL,,"EDC 2WD, SCAUNE INCALZITE, CAMERA MULTIVIEW, ROATA REZERVA NORMALA, PACHET CONFORT 2",0199450,B116JPF,6.76%,"17,250.00 ?",5.0705 lei,"87,466.13 lei","73,500.95 lei","13,965.18 lei",7/23/2025,30458940,7/28/2025,AMAT SELECTION SRL,BUNA,"REVOPSIT BARA FATA, ZGARIAT USOR HAION, ZGARIETURI FINE ARIPA FATA DR, INFUNDAT 2CM CAPOTA, INFUNDATURI USOARE USI FATA, CARTE SERVICE 27405KM (12.2024)",18500,18330,16294,BUNA,14.04.2025/RS,,12/18/2025,10/22/2025,57,24,36,CIV,,,-,14.04.2025,#VALUE!,224,
43,VF1RHN00072021683,12/03/2025,AUTOTURISM,RENAULT,RAFALE,ESPRIT ALPINE E-TECH,BLUE ALPINE,2024,8190,1199,200,10/2/2024,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"35,896.37 ?","40,000.00 ?",27.03.2025,DACOSERV SELECTION SRL,,"E-TECH, BI-TON, HEAD-UP DISPLAY 9.3, OPENR LINK 12 SI HARMAN KARDON PREMIUM SOUND, ROATA REZERVA DIMENSIUNI REDUSE, PACK CONNECTED DRIVING, PACK CITY PREMIUM, SCAUNE FATA ELECTRICE CU MEMORIE SI MASAJ LA SOFER, PLAFON SOLARBAY",2021683,B123RXZ,7.50%,"37,000.00 ?",5.0693 lei,"187,564.10 lei","157,616.89 lei","29,947.21 lei",7/22/2025,30458941,7/28/2025,DACOSERV SELECTION SRL,BUNA,"ZGARIAT USOR BARA FATA, ZGARIETURI FINE CAPOTA",38500,43789,40467,F BUNA,13.03.2025/RS,,10/6/2027,10/22/2025,714,4,36,CIV,,,3/31/2025,13.03.2025,#VALUE!,224,
44,VF1HJD40467351056,14/01/2025,AUTOTURISM,DACIA,DUSTER,PRESTIGE,ORANGE ATACAMA,2021,145540,1461,115,6/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"9,305.25 ?","13,500.00 ?",27.03.2025,DAW AUTO ES SRL,,"4WD, STANDARD",7351056,B110VYK,14.81%,"11,500.00 ?",5.0736 lei,"58,346.40 lei","49,030.59 lei","9,315.81 lei",7/21/2025,30458942,7/28/2025,DAW AUTO ES SRL,LIPSA SCRUMIERA+BRICHETA,"MICI CIUPITURI PARBRIZ, ZGARIAT JANTE DR, CARTE SERVICE 145531KM (12.2024), MOTOR INLOCUIT LA 24137KM (04.2022)-TRECUT IN CIV",13500,15807,13715,BUNA,05.03.2025/RS,, - ,10/22/2025, - ,40,42,CIV,,,-,05.03.2025,#VALUE!,281,
45,UU1DJF01973582889,24/07/2025,AUTOTURISM,DACIA ,DUSTER III,EXTREME,PEARL BLACK,2024,,1199,130,11/26/2024,RCI FINANTARE ROMANIA,RCI,VS,MIOVENI,"19,213.48 ?",,,IVASCU MIHAI,,"4WD, PACK, PACK PCV92, TECHNO PACK, JANTE SEMI-DIAMANTATE 18&#39;,
RDIF10",3582889,B122VOA,#DIV/0!,"20,583.00 ?",5.0692 lei,"104,339.34 lei","87,680.12 lei","16,659.22 lei",7/25/2025,30458985,7/29/2025,IVASCU MIHAI/1641102030013,,,,,,,,,11/3/2027,10/22/2025,742,8,36,CIV,,,,,-,90,
46,JN1TDNFE0U0104246,25/06/2025,AUTOTURISM,NISSAN,ARIYA,EVOLVE PLUSe4WD,MARO COPPER,2023,,ELECTRIC,389,6/27/2024,NISSAN ROMANIA ,EXTERNA,QVN,SERVICE AUTOMOBILE SA DEVA,"126,196.78 lei",,,AUTORAVENNA MOTOR SRL,FT7,"EV 87KW 4WDP 87kWh e4ORCE (4WD) 389CP Evolve Plus (22kWh charger inclus), Tapiterie BLUE",0104246,B121LXO,#DIV/0!,"35,700.00 ?",5.1026 lei,"182,162.82 lei","153,078.00 lei","29,084.82 lei",7/2/2025,RCRF4005891VO,7/30/2025,AUTORAVENNA MOTOR SRL,,,,,,,,,5/30/2028,10/22/2025,951,-,-,,,,-,,-,119,
47,VF1HJD40567322049,04/02/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRIS HIGHLAND,2021,131147,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,734.24 ?","14,800.00 ?",25.04.2025,DAW AUTO ES SRL,,"4WD, SCAUNE INCALZITE, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, FUNCTIA MAINI LIBERE, CAMERA VIDEO PARCARE, RTFIT",7322049,B110KVK,20.00%,"11,840.00 ?",5.0736 lei,"60,071.42 lei","50,480.19 lei","9,591.24 lei",7/21/2025,30459003,7/30/2025,DAW AUTO ES SRL,LIPSA SCRUMIERA,"BATERIE DESCARCATA-NECESAR INLOCUIRE, MARTORI ESC+SERVODIRECTIE APRINSI, PARBRIZ CIOBIT 2CM+MICI CIUPITURI, REVOPSIT AMBELE BARE+ARIPA SPATE DR, ORNAMENT BARA FATA PATAT CU BITUM, ZGARIAT USOR JANTE, LIPSA REVIZII IN MANUAL, REVIZIE 123520KM (10.2024)-CONFORM ICM",14800,15152,13102,BUNA,20.03.2025/RS,200, - ,10/22/2025, - ,43,47,CIV,,,-,20.03.2025,#VALUE!,260,
48,UU1DJF00070062847,19/03/2024,AUTOTURISM,DACIA,SANDERO III,STEPWAY COMFORT,ATACAMA ORANGE,2022,6458,999,90,6/7/2023,RCI FINANTARE ROMANIA,RCI,VOC,PARC MAVEXIM GAESTI,"10,441.33 ?",,4/5/2024,AUTO BARA SELECTION SRL,-,"JANTE ALUMINIU 16', AER CONDITIONAT AUTOMAT, PACHET CONFORT 1, DESIGN MAHALIA",0062847,B117UJC,#DIV/0!,"10,000.00 ?",5.0708 lei,"50,708.00 lei","42,611.76 lei","8,096.24 lei",7/28/2025,30459049,7/31/2025,AUTO BARA SELECTION SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Repara?ie) , Carcasa oglinda retrovizoare Fata stƒnga Cu zgƒrieturi (Polisare) , Aripa Fata stƒnga Cu zgƒrieturi (Repara?ie) , Profil arip? inferioara Fata stƒnga Cu zgƒrieturi (?nlocuire) , Bara de protectie Fata Cu zgƒrieturi (Repara?ie) , Spoiler Fata Cu zgƒrieturi (?nlocuire) , Aripa Fata dreapta Cu zgƒrieturi (Repara?ie) , Usa Spate dreapta Cu zgƒrieturi (Repara?ie) , Aripa Spate stƒnga Cu zgƒrieturi (Repara?ie) , Usa Spate stƒnga Cu zgƒrieturi (Repara?ie), km introdusi gresit in icm, Necesar revizie 1an",12700,11773,N/A,BUNA,26.03.2024/DK,1756,5/21/2026,10/22/2025,211,8,18,CIV,,,-,26.03.2024,#VALUE!,582,
49,UU1DJF00670062898,04/04/2024,AUTOTURISM,DACIA,SANDERO III ,STEPWAY COMFORT,ATACAMA ORANGE,2022,4113,999,90,6/6/2023,RCI FINANTARE ROMANIA,RCI,VOC,PARC MAVEXIM GAESTI,"10,708.02 ?",,7/31/2024,AUTO BARA SELECTION SRL,-,"JANTE ALUMINIU 16', AER CONDITIONAT AUTOMAT, PACHET CONFORT 1, PACK, DESIGN MAHALIA",0062898,B117UFO,#DIV/0!,"10,000.00 ?",5.0708 lei,"50,708.00 lei","42,611.76 lei","8,096.24 lei",7/28/2025,30459050,7/31/2025,AUTO BARA SELECTION SRL,km introdusi gresit in icm,"Lips? Portdocumente - (Informativ) , Lips? Manual de utilizare - (Informativ) , Str?puns Garnisaj parbriz Fata stƒnga (?nlocuire) , Vopsea s?rit? Capota Fata (Informativ) , Cu zgƒrieturi Profil arip? inferioara Fata dreapta (Informativ) , Cu zgƒrieturi Bara de protectie Spate (Informativ) , Cu zgƒrieturi Usa Spate stƒnga (Repara?ie) , Lips? Mocheta Fata stƒnga (?nlocuire) , Lips? Mocheta Fata dreapta (?nlocuire) , Lips? Mocheta Spate dreapta (?nlocuire) , Lips? Mocheta Spate stƒnga (?nlocuire), Necesar revizie 1an",,13128,N/A,BUNA,24.07.2024/DK,422,21/05/2026,10/22/2025,211,8,18,CIV,,,-,24.07.2024,#VALUE!,566,
50,UU1DJF00870231187,04/04/2024,AUTOTURISM,DACIA,SANDERO III ,STEPWAY COMFORT,ATACAMA ORANGE,2022,4620,999,90,6/7/2023,RCI FINANTARE ROMANIA,RCI,VOC,PARC MAVEXIM GAESTI,"10,708.02 ?",,7/31/2024,AUTO BARA SELECTION SRL,-,"JANTE ALUMINIU 16', AER CONDITIONAT AUTOMAT, PACHET CONFORT 1, PACK, DESIGN MAHALIA",0231187,B117UOT,#DIV/0!,"10,000.00 ?",5.0708 lei,"50,708.00 lei","42,611.76 lei","8,096.24 lei",7/28/2025,30459051,7/31/2025,AUTO BARA SELECTION SRL,revopsit usa fata st,"Cu zgƒrieturi Usa Fata stƒnga (Informativ) , Marcat cu autocolant Usa Fata stƒnga (Eliminare autocolante) , Marcat cu autocolant Usa Fata dreapta (Eliminare autocolante) , Ars Perna textila scaun Fata dreapta (?nlocuire) , P?tat Perna textila scaun Spate (Cur??are), revopsit usa fata st, Necesar revizie 1an",,13128,N/A,BUNA,24.07.2024/DK,146,21/05/2026,10/22/2025,211,8,18,CIV,,,-,24.07.2024,#VALUE!,566,
51,VF1RJB00866534528,28/11/2024,AUTOTURISM,RENAULT,CAPTUR,INTENS E-TECH,BLUE IRON,2020,81557,1598,160,6/14/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT,"11,366.10 ?","15,642.00 ?",12/21/2024,AUTO BARA SELECTION SRL,,"GEAMURI CU TENTA FUMURIE, JANTE ALUMINIU 18', VOLAN PIELE, PERA02, ANTEN2, RDIF21, AVCAM, NA418, TCHL0",6534528,B110SOD,,"14,390.00 ?",5.0708 lei,"72,968.81 lei","61,318.33 lei","11,650.48 lei",7/28/2025,30459052,7/31/2025,AUTO BARA SELECTION SRL,,"Usa Fata stƒnga Cu adƒncituri & Vops (Informativ), Spoiler Fata Cu zgƒrieturi (Repara?ie), Bara de protectie Fata Cu zgƒrieturi (Informativ), Capota Fata Cu zgƒrieturi (Informativ), Cadru superior usa Fata dreapta Cu zgƒrieturi (Informativ), Carcasa oglinda retrovizoare Fata dreapta Cu zgƒrieturi (Informativ), Mƒner usa exterior Fata dreapta Cu zgƒrieturi (Informativ), Usa Fata dreapta Cu zgƒrieturi (Informativ), Usa Spate dreapta Cu zgƒrieturi (Informativ), Hayon / portbagaj Spate Cu zgƒrieturi (Informativ), Usa Spate stƒnga Cu zgƒrieturi (Informativ), Plafon Centrala Vopsea s?rit? (Informativ), Alte portiuni din caroserie Interior P?tat (Cur??are), Garnisaj hayon sau portbagaj Spate Cu zgƒrieturi (Informativ), Alte portiuni din caroserie Interior Neconform (Informativ), Clapeta rezervor de carburant Spate stƒnga Neconform (Informativ), Revopsit bara fata, Revizie 27.06.2024/74700km",,15642,14139,BUNA,14.12.2024/DK,,-,10/22/2025, - ,38,42,CIV,,,-,14.12.2024,#VALUE!,328,
52,VF1HJD40567321872,12/03/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE ,COMET GREY,2021,60041,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"8,843.30 ?","16,500.00 ?",26.05.2025,AUTO BARA SELECTION SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7321872,B110KNY,7.00%,"15,345.00 ?",5.0708 lei,"77,811.43 lei","65,387.75 lei","12,423.67 lei",7/28/2025,30459053,7/31/2025,AUTO BARA SELECTION SRL,SCAUN SOFER GAURIT 2X0.5CM,"REVOPSIT BARA SPATE+HAION, ZGARIAT MUCHIE USI FATA, ZGARIETURI USOARE ORMANENT BARA SPATE+LATERALA DR+JANTE, INFUNDATURI USOARE ARIPI SPATE+HAION, MICI PUNCTE VOPSEA SARITA CAPOTA, CARTE SERVICE 51511KM (07.2024)",16500,15480,13630,BUNA,05.05.2025/RS,200,-,10/22/2025, - ,41,44,CIV,,,-,05.05.2025,#VALUE!,224,
53,VF1HJD40369145697,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,PRESTIGE PLUS ,ORANGE ARIZONA,2022,26520,1332,150,6/30/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"11,568.90 ?","18,000.00 ?",25.04.2025,AUTO BARA SELECTION SRL,,"4WD, RTFIT SERTMC",9145697,B114NLK,8.33%,"16,500.00 ?",5.0708 lei,"83,668.20 lei","70,309.41 lei","13,358.79 lei",7/28/2025,30459055,7/31/2025,AUTO BARA SELECTION SRL,BUNA,"ZGARIETURI FINE LATERALA DR, ZGARIAT MUCHIE USA FATA ST+FLAPS SPATE ST, CARTE SERVICE 22153KM (06.2024)",18000,17092,15293,BUNA,14.04.2025/RS,200,6/9/2025,10/22/2025,-135,30,36,CIV,,,-,14.04.2025,#VALUE!,224,
54,VF1HJD40167321920,12/03/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE ,GRIS HIGHLAND,2021,109740,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"8,602.32 ?","15,500.00 ?",26.05.2025,AUTO BARA SELECTION SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7321920,B110KZG,11.94%,"13,650.00 ?",5.0708 lei,"69,216.42 lei","58,165.06 lei","11,051.36 lei",7/28/2025,30459056,7/31/2025,AUTO BARA SELECTION SRL,LIPSA SCRUMIERA+BRICHETA,"REVOPSIT AMBELE BARE+HAION, ZGARIAT USOR AMBELE BARE+JANTE, CONDENS IN LAMPA MARSARIER, INFUNDAT+ZGARIAT ORNAMENT PRAG DR, CARTE SERVICE 99932KM (10.2024)",15500,15138,13223,BUNA,05.05.2025/RS,200,-,10/22/2025, - ,43,44,CIV,,,-,05.05.2025,#VALUE!,224,
